Year,Date,RoundID,Stage,MatchID,Country,City,Stadium,Home_Team_Name,Home_Team_Initials,Half_Time_Home_Goals,Home_Team_Goals,Away_Team_Name,Away_Team_Initials,Half_Time_Away_Goals,Away_Team_Goals,Half_Time_Goals,Goals,Outcome_Of_The_Match,Win_Conditions,Attendance,Referee,Assistant_1,Assistant_2
1994,29-06-1994,337,Group F,3081,Morocco,Orlando ,Citrus Bowl,Morocco,MAR,0,1,Netherlands,NED,1,2,1,3,Away_Team_Win, ,60578,TEJADA NORIEGA Alberto (PER),ZARATE Venancio (PAR),EVERSTIG Mikael (SWE)
1994,29-06-1994,337,Group F,3082,Belgium,Washington Dc ,RFK Stadium,Belgium,BEL,0,0,Saudi Arabia,KSA,1,1,1,1,Away_Team_Win, ,52959,KRUG Hellmut (GER),BRAZZALE Eugene (AUS),TAIBI Ernesto (ARG)
1994,30-06-1994,337,Group D,3083,Greece,Boston ,Foxboro Stadium,Greece,GRE,0,0,Nigeria,NGA,1,2,1,2,Away_Team_Win, ,53001,MOTTRAM Leslie (SCO),PARK Hae-Yong (KOR),ALVES Paulo Jorge (BRA)
1994,30-06-1994,337,Group D,3084,Argentina,Dallas ,Cotton Bowl,Argentina,ARG,0,0,Bulgaria,BUL,0,2,0,2,Away_Team_Win, ,63998,JOUINI Neji (TUN),YLI-KARRO Tapio (FIN),RHARIB El Jilali Mohamed (MAR)
1994,02-07-1994,338,Round of 16,3085,Germany,Chicago ,Soldier Field,Germany,GER,3,3,Belgium,BEL,1,2,4,5,Home_Team_Win, ,60246,ROETHLISBERGER Kurt (SUI),LISTKIEWICZ Michal (POL),CHRISTENSEN Carl-Johan Meyer (DEN)
1994,02-07-1994,338,Round of 16,3086,Spain,Washington Dc ,RFK Stadium,Spain,ESP,1,3,Switzerland,SUI,0,0,1,3,Home_Team_Win, ,53121,VAN DER ENDE Mario (NED),DOLSTRA Jan (NED),MARTON Sandor (HUN)
1994,03-07-1994,338,Round of 16,3087,Saudi Arabia,Dallas ,Cotton Bowl,Saudi Arabia,KSA,0,1,Sweden,SWE,1,3,1,4,Away_Team_Win, ,60277,MARSIGLIA Renato (BRA),ALVES Paulo Jorge (BRA),CALIX GARCIA Raimundo (HON)
1994,03-07-1994,338,Round of 16,3088,Romania,Los Angeles ,Rose Bowl,Romania,ROU,2,3,Argentina,ARG,1,2,3,5,Home_Team_Win, ,90469,PAIRETTO Pierluigi (ITA),RAMICONE Domenico (ITA),MATTHYS Luc (BEL)
1994,04-07-1994,338,Round of 16,3089,Netherlands,Orlando ,Citrus Bowl,Netherlands,NED,2,2,Ireland,IRL,0,0,2,2,Home_Team_Win, ,61355,MIKKELSEN Peter (DEN),DUNSTER Gordon (AUS),BRAZZALE Eugene (AUS)
1994,04-07-1994,338,Round of 16,3090,Brazil,San Francisco ,Stanford Stadium,Brazil,BRA,0,1,USA,USA,0,0,0,1,Home_Team_Win, ,84147,QUINIOU Joel (FRA),PARK Hae-Yong (KOR),EVERSTIG Mikael (SWE)
1994,05-07-1994,338,Round of 16,3091,Nigeria,Boston ,Foxboro Stadium,Nigeria,NGA,0,1,Italy,ITA,0,2,0,3,Away_Team_Win,Italy win after extra time ,54367,BRIZIO CARTER Arturo (MEX),TAIBI Ernesto (ARG),ZARATE Venancio (PAR)
1994,05-07-1994,338,Round of 16,3092,Mexico,New York/New Jersey ,Giants Stadium,Mexico,MEX,0,1,Bulgaria,BUL,0,1,0,2,DRAW,Bulgaria win on penalties (1 - 3) ,71030,AL SHARIF Jamal (SYR),FANAEI Mohammad (IRN),AL GHATTAN Yousif Abdulla (BAH)
1994,09-07-1994,796,Quarter-finals,3097,Italy,Boston ,Foxboro Stadium,Italy,ITA,1,2,Spain,ESP,0,1,1,3,Home_Team_Win, ,53400,PUHL Sandor (HUN),DUNSTER Gordon (AUS),MATTHYS Luc (BEL)
1994,09-07-1994,796,Quarter-finals,3098,Netherlands,Dallas ,Cotton Bowl,Netherlands,NED,0,2,Brazil,BRA,0,3,0,5,Away_Team_Win, ,63500,BADILLA Rodrigo (CRC),AL GHATTAN Yousif Abdulla (BAH),FANAEI Mohammad (IRN)
1994,10-07-1994,796,Quarter-finals,3096,Bulgaria,New York/New Jersey ,Giants Stadium,Bulgaria,BUL,0,2,Germany,GER,0,1,0,3,Home_Team_Win, ,72000,TORRES CADENA Jose Joaquin (COL),ZARATE Venancio (PAR),MARTON Sandor (HUN)
1994,10-07-1994,796,Quarter-finals,3095,Romania,San Francisco ,Stanford Stadium,Romania,ROU,0,2,Sweden,SWE,0,2,0,4,DRAW,Sweden win on penalties (4 - 5) ,83500,DON Philip (ENG),PEARSON Roy (ENG),PARK Hae-Yong (KOR)
1994,13-07-1994,3461,Semi-finals,3100,Bulgaria,New York/New Jersey ,Giants Stadium,Bulgaria,BUL,1,1,Italy,ITA,2,2,3,3,Away_Team_Win, ,74110,QUINIOU Joel (FRA),CHRISTENSEN Carl-Johan Meyer (DEN),PEARSON Roy (ENG)
1994,13-07-1994,3461,Semi-finals,3099,Sweden,Los Angeles ,Rose Bowl,Sweden,SWE,0,0,Brazil,BRA,0,1,0,1,Away_Team_Win, ,91856,TORRES CADENA Jose Joaquin (COL),MARTON Sandor (HUN),MATTHYS Luc (BEL)
1994,16-07-1994,3460,Match for third place,3103,Sweden,Los Angeles ,Rose Bowl,Sweden,SWE,4,4,Bulgaria,BUL,0,0,4,4,Home_Team_Win, ,91500,BUJSAIM Ali (UAE),RHARIB El Jilali Mohamed (MAR),TAIBI Ernesto (ARG)
1994,17-07-1994,3459,Final,3104,Brazil,Los Angeles ,Rose Bowl,Brazil,BRA,0,0,Italy,ITA,0,0,0,0,DRAW,Brazil win on penalties (3 - 2) ,94194,PUHL Sandor (HUN),ZARATE Venancio (PAR),FANAEI Mohammad (IRN)
1998,10-06-1998,1014,Group A,4000,Brazil,Saint-Denis ,Stade de France,Brazil,BRA,1,2,Scotland,SCO,1,1,2,3,Home_Team_Win, ,80000,GARCIA ARANDA Jose Maria (ESP),TRESACO GRACIA Fernando (ESP),ARANGO Jorge Luis (COL)
1998,10-06-1998,1014,Group A,8725,Morocco,Montpellier ,La Mosson,Morocco,MAR,1,2,Norway,NOR,1,2,2,4,DRAW, ,29800,ANPRASERT Pirom (THA),ABDUL HAMID Halim (MAS),WICKRAMATUNGA Nimal (SRI)
1998,11-06-1998,1014,Group B,8726,Italy,Bordeaux ,Stade du Parc Lescure,Italy,ITA,1,2,Chile,CHI,1,2,2,4,DRAW, ,31800,BOUCHARDEAU Lucien (NIG),DANTE Dramane (MLI),MANSRI Mohamed (TUN)
1998,11-06-1998,1014,Group B,8727,Cameroon,Toulouse ,Stade Municipal,Cameroon,CMR,0,1,Austria,AUT,0,1,0,2,DRAW, ,33500,GONZALEZ CHAVEZ Epifanio (PAR),GALVAN Celestino (PAR),SALINAS Reynaldo (HON)
1998,12-06-1998,1014,Group D,8728,Paraguay,Montpellier ,La Mosson,Paraguay,PAR,0,0,Bulgaria,BUL,0,0,0,0,DRAW, ,29800,ALZEID Abdulrahman (KSA),SALIE Achmat (RSA),GHADANFARI Hussain (KUW)
1998,12-06-1998,1014,Group C,8729,Saudi Arabia,Lens ,Stade Felix Bollaert,Saudi Arabia,KSA,0,0,Denmark,DEN,0,1,0,1,Away_Team_Win, ,38100,CASTRILLI Javier (ARG),ROSSI Claudio (ARG),DIAZ GALVEZ Jorge (CHI)
