Sector
METALLURGICAL INDUSTRIES
MINING
POWER
NON-CONVENTIONAL ENERGY
COAL PRODUCTION
PETROLEUM & NATURAL GAS
BOILERS AND STEAM GENERATING PLANTS
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS)
ELECTRICAL EQUIPMENTS
COMPUTER SOFTWARE & HARDWARE
ELECTRONICS
TELECOMMUNICATIONS
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA)
AUTOMOBILE INDUSTRY
AIR TRANSPORT (INCLUDING AIR FREIGHT)
SEA TRANSPORT
PORTS
RAILWAY RELATED COMPONENTS
INDUSTRIAL MACHINERY
MACHINE TOOLS
AGRICULTURAL MACHINERY
EARTH-MOVING MACHINERY
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS"
MEDICAL AND SURGICAL APPLIANCES
INDUSTRIAL INSTRUMENTS
SCIENTIFIC INSTRUMENTS
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS"
FERTILIZERS
CHEMICALS (OTHER THAN FERTILIZERS)
PHOTOGRAPHIC RAW FILM AND PAPER
DYE-STUFFS
DRUGS & PHARMACEUTICALS
"TEXTILES (INCLUDING DYED,PRINTED)"
PAPER AND PULP (INCLUDING PAPER PRODUCTS)
SUGAR
FERMENTATION INDUSTRIES
FOOD PROCESSING INDUSTRIES
VEGETABLE OILS AND VANASPATI
"SOAPS, COSMETICS & TOILET PREPARATIONS"
RUBBER GOODS
"LEATHER,LEATHER GOODS AND PICKERS"
GLUE AND GELATIN
GLASS
CERAMICS
CEMENT AND GYPSUM PRODUCTS
TIMBER PRODUCTS
DEFENCE INDUSTRIES
CONSULTANCY SERVICES
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)"
HOSPITAL & DIAGNOSTIC CENTRES
EDUCATION
HOTEL & TOURISM
TRADING
RETAIL TRADING
AGRICULTURE SERVICES
"DIAMOND,GOLD ORNAMENTS"
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER)
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY)
COIR
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects"
MISCELLANEOUS INDUSTRIES
