Sector,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,avg_last_17yrs,avg_last_15yrs,avg_last_12yrs,avg_last_10yrs,avg_last_8yrs,avg_last_5yrs,avg_last_3yrs,avg_last_2yrs,Sum_in_million_USD
MEDICAL AND SURGICAL APPLIANCES,5.42,42.35,21.63,1.97,5.35,1.52,13.43,13.17,75.42,167.35,32.22,141.61,83.02,173.48,145.93,173.26,479.71,92.76,101.94,125.01,148.52,174.57,211.08,266.3,326.48,1576.84
INDUSTRIAL INSTRUMENTS,1.01,5.07,1.31,0.3,1.08,0.38,0,2.23,17.48,7.61,25.48,3.99,0.58,0.53,0.85,7.42,0.8,4.48,4.67,5.61,6.7,5.91,2.04,3.02,4.11,76.12
SCIENTIFIC INSTRUMENTS,8.07,2.33,0.19,0.02,0.03,0.1,0.07,0,0.83,0,2.49,7.08,73.28,45.08,32.34,6.36,76.66,15,16.3,20.36,24.41,30.41,46.74,38.45,41.51,254.93
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",0,0,0,0,0,0,0,1.27,0,0,0,0,6.71,0,0,0,0,0.47,0.53,0.66,0.8,0.84,1.34,0,0,7.98
FERTILIZERS,0,0,16.38,21.58,13.46,4.24,5.01,1.95,133.75,8.2,18.18,32.6,42.55,20.65,225.32,20.93,0.89,33.28,37.71,42.86,50.5,46.16,62.07,82.38,10.91,565.69
CHEMICALS (OTHER THAN FERTILIZERS),111.14,87.23,128.12,20.24,69.39,387.72,138.85,233.7,651.22,365.94,2354.4,4040.71,292.16,786.76,762.76,1469.95,1392.8,781.95,872.98,1073.08,1235.04,1433.18,940.89,1208.5,1431.38,13293.09
PHOTOGRAPHIC RAW FILM AND PAPER,0,0,0.6,0.24,6.16,0,2.81,54.86,1.05,0,0.81,0,0,0,0.75,0,0,3.96,4.49,5.02,5.75,0.2,0.15,0.25,0,67.28
DYE-STUFFS,1.05,0.18,0,0.43,1.18,0,0,5.51,1.17,4.02,5.37,0.58,0,0,54.89,3.32,10.7,5.2,5.81,7.13,8.56,9.86,13.78,22.97,7.01,88.4
DRUGS & PHARMACEUTICALS,35.94,77.94,40.07,108.91,293.36,172.44,224.2,340.35,4246.76,213.08,209.38,3232.28,1123.46,1279.34,1497.74,754.26,857.39,865.11,972.87,1179.22,1375.4,1145.87,1102.44,1036.46,805.82,14706.9
"TEXTILES (INCLUDING DYED,PRINTED)",2.06,5.28,54.18,9.34,43.04,94.33,126.9,185.4,157.52,150.27,129.65,164.19,103.89,198.86,197.42,230.13,618.95,145.38,164.27,196.46,213.63,224.17,269.85,348.83,424.54,2471.41
PAPER AND PULP (INCLUDING PAPER PRODUCTS),60.04,16.7,7.36,7.15,2.7,27.38,5.08,31.24,272.51,16.42,6.53,407.35,5.09,26.86,116.21,85.21,197.61,75.97,80.98,99.79,116.5,107.66,86.2,133.01,141.41,1291.44
SUGAR,0,0,3.97,0,2.94,3,9.85,10.07,5.01,0.1,0.17,4.44,12.26,3.08,27.77,105.85,15.92,12.03,13.63,16.46,18.47,21.2,32.98,49.85,60.88,204.43
FERMENTATION INDUSTRIES,16.02,11.04,8.07,1.7,139,169.83,27.58,270.05,144.7,112.02,57.71,69.7,107.21,814.58,225.38,202.36,110.86,146.34,164.05,192.67,211.46,212.48,292.08,179.53,156.61,2487.81
FOOD PROCESSING INDUSTRIES,45.75,219.39,36.88,109.22,43.98,41.74,102,70.17,102.71,278.89,188.67,170.21,401.46,3982.89,515.86,505.88,727.22,443.7,485.19,590.64,694.4,846.38,1226.66,582.99,616.55,7542.92
VEGETABLE OILS AND VANASPATI,0,0,0,1.69,9.09,12.31,16.22,1.53,42.88,69.74,58.07,65.02,108.39,21.55,148.34,34.22,108.45,41.03,46.5,57.23,65.82,76.72,84.19,97,71.34,697.5
"SOAPS, COSMETICS & TOILET PREPARATIONS",0,0,0,0,0.89,87.42,6.04,6.38,22.03,24.58,102.9,222.08,160.07,108.44,177.22,193.26,92.6,70.82,80.26,100.25,110.96,135.14,146.32,154.36,142.93,1203.91
RUBBER GOODS,0.1,46.39,16.42,6.37,40.06,34.09,18.75,15.12,84.88,24.12,17.21,187.37,642.18,370.54,284.51,296.15,262.76,138.06,153.37,186.47,218.48,260.6,371.23,281.14,279.46,2347.02
"LEATHER,LEATHER GOODS AND PICKERS",9.75,0.2,0.01,7.55,0.44,1.11,8.26,7.46,3.32,5.06,9.26,8.3,46.7,6.14,34.21,17.13,2.3,9.84,10.48,12.44,13.99,16.14,21.3,17.88,9.72,167.2
GLUE AND GELATIN,0,0.94,5.22,0,0,0,0,2.28,0,0.27,0.01,5.84,0,0.97,21.44,0.82,90.6,7.55,8.5,10.19,12.22,14.99,22.77,37.62,45.71,128.39
GLASS,33.87,8.37,44.98,5.24,8.36,0.81,1.43,11.04,23.16,2.83,7.6,32.22,209.16,43.09,41.82,25.78,51.69,32.44,33.95,37.55,44.84,51.77,74.31,39.76,38.74,551.45
CERAMICS,4.03,0.78,0.21,1.47,26.79,5.67,122.23,115.11,198.43,7.21,12,9.87,4.33,150.09,35.29,51.21,15.4,44.71,50.35,60.57,59.89,35.67,51.26,33.97,33.3,760.12
CEMENT AND GYPSUM PRODUCTS,67.72,139.9,21.08,9.58,0.16,452.08,242.47,16.89,724.8,33.8,637.68,267.9,12.38,254.01,208.99,19.69,2130.1,308.19,335.44,416.73,430.62,445.57,525.03,786.26,1074.9,5239.23
TIMBER PRODUCTS,0,0.05,0.04,0.11,0.07,0.33,0,0.39,11.27,6.54,1.58,29.6,29.17,6.16,8.97,53.17,10.23,9.28,10.51,13.12,15.71,18.18,21.54,24.12,31.7,157.68
DEFENCE INDUSTRIES,0,0,0,0,0.05,0,0,0,0,0,0,3.66,0.41,0.82,0.08,0.1,0,0.3,0.34,0.42,0.51,0.63,0.28,0.06,0.05,5.12
CONSULTANCY SERVICES,4.25,66.22,25.7,46.2,252.42,47.4,114.68,233.32,256.59,341.31,274.84,289.89,142.32,285.85,458.13,517.47,261.14,212.81,236.48,268.58,306.09,321.37,332.98,412.25,389.3,3617.73
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",71.38,187.95,296.34,271.15,456.15,548.61,4713.78,6986.17,6183.49,4174.53,3296.09,5215.98,4832.98,2225.1,4443.26,6889.46,8684.07,3498.62,3947.81,4849.46,5293.11,4970.18,5414.97,6672.26,7786.76,59476.49
HOSPITAL & DIAGNOSTIC CENTRES,0,6.93,29.13,24.08,26.19,32.53,38.14,241.76,239.71,135.57,256,310.43,256.86,684.58,567.85,742.35,747.38,255.26,288.84,354.43,418.25,462.63,599.8,685.86,744.86,4339.49
EDUCATION,0,0,0,0.19,1.97,3.16,41.81,43.59,214.52,63.35,37.94,105.62,172.2,262.09,78.86,230.78,160.12,83.31,94.41,117.84,136.91,138.87,180.81,156.59,195.45,1416.2
HOTEL & TOURISM,13.2,32.12,33.75,49.36,37.01,71.78,195.66,421.47,463.92,753.02,308.05,992.86,3259.05,486.38,777.01,1332.69,916.13,596.67,673.21,831.5,971.06,1103.15,1354.25,1008.61,1124.41,10143.46
TRADING,11.49,43.27,38.13,31.12,14.22,28.93,114.65,345.02,643.64,737.95,498.04,731.55,717.8,1343.39,2727.96,3845.32,2338.4,835.93,943.74,1172.72,1392.91,1617.55,2194.57,2970.56,3091.86,14210.88
RETAIL TRADING,0,0,0,0,0,0,0,1.27,0.09,13.73,26.27,31.7,22.31,11.3,168.72,262.24,450.94,58.15,65.9,82.38,98.86,123.4,183.1,293.97,356.59,988.57
AGRICULTURE SERVICES,17.52,14.06,11.01,0.59,3.83,9.08,12.53,58.13,5.35,1222.22,43.9,49.02,161.47,91.01,59.95,84.65,76.43,112.99,125.94,156.15,185.21,223.58,94.7,73.68,80.54,1920.75
"DIAMOND,GOLD ORNAMENTS",18.83,0.36,1.3,1.96,8.58,15.52,61.97,59.15,83.5,31.08,19.59,36.3,52.61,42.56,280.18,58.54,123.92,52.7,58.45,72.08,78.74,80.6,111.56,154.21,91.23,895.95
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),20.23,0.14,0,0.32,0.01,1.43,6.2,18.94,37.08,8.15,3.12,5.32,0.27,5.86,1.43,1.12,1.6,6.54,6.06,7.54,8.29,3.36,2.06,1.38,1.36,111.22
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),0,0,6.3,0,0.06,9.9,20.04,35.54,31.61,70.51,36.63,47.39,14.34,113.78,72.58,122.81,53.17,37.33,42.31,52.36,59.84,66.4,75.34,82.85,87.99,634.66
COIR,0,0,0,0,0.47,0.59,0.04,0.01,0,0.25,0.1,0.55,0.15,0.54,1.36,0,0,0.24,0.27,0.3,0.3,0.37,0.41,0.45,0,4.06
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,0,0,0,0,0,0.93,64.06,182.92,172.7,324.56,675.07,386.28,283.89,485.37,870.25,4510.71,1860.73,577.5,654.5,818.12,975.25,1174.61,1602.19,2413.9,3185.72,9817.47
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",24.33,51.75,36.1,47.04,152.06,228.71,1392.95,3887.33,4657.51,5466.13,1663.03,3140.78,1332.49,1226.05,769.14,112.55,105.14,1429.01,1614.47,1998.48,2236.02,1726.91,709.07,328.94,108.84,24293.09
MISCELLANEOUS INDUSTRIES,832.07,221.37,218.76,235.48,121.83,164.76,304.87,528.42,1549.7,1147.56,1475.97,813.38,229.49,468.74,765.88,668.77,296.4,590.79,599.33,701.16,794.43,733.27,485.86,577.02,482.58,10043.45
