Sector,avg_last_12yrs
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",4849.46
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",1998.48
COMPUTER SOFTWARE & HARDWARE,1900.94
TELECOMMUNICATIONS,1874.89
AUTOMOBILE INDUSTRY,1298.48
DRUGS & PHARMACEUTICALS,1179.22
TRADING,1172.72
CHEMICALS (OTHER THAN FERTILIZERS),1073.08
POWER,884.39
METALLURGICAL INDUSTRIES,837.38
HOTEL & TOURISM,831.5
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,818.12
MISCELLANEOUS INDUSTRIES,701.16
FOOD PROCESSING INDUSTRIES,590.64
PETROLEUM & NATURAL GAS,532.96
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),528.97
ELECTRICAL EQUIPMENTS,518.05
NON-CONVENTIONAL ENERGY,431.2
CEMENT AND GYPSUM PRODUCTS,416.73
INDUSTRIAL MACHINERY,360.41
HOSPITAL & DIAGNOSTIC CENTRES,354.43
CONSULTANCY SERVICES,268.58
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,260.57
SEA TRANSPORT,216.84
"TEXTILES (INCLUDING DYED,PRINTED)",196.46
FERMENTATION INDUSTRIES,192.67
RUBBER GOODS,186.47
MINING,185.04
AGRICULTURE SERVICES,156.15
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),144.62
MEDICAL AND SURGICAL APPLIANCES,125.01
PORTS,124.2
EDUCATION,117.84
ELECTRONICS,102.74
"SOAPS, COSMETICS & TOILET PREPARATIONS",100.25
PAPER AND PULP (INCLUDING PAPER PRODUCTS),99.79
AIR TRANSPORT (INCLUDING AIR FREIGHT),83.8
RETAIL TRADING,82.38
"DIAMOND,GOLD ORNAMENTS",72.08
RAILWAY RELATED COMPONENTS,65.36
MACHINE TOOLS,64.7
CERAMICS,60.57
VEGETABLE OILS AND VANASPATI,57.23
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),52.36
FERTILIZERS,42.86
GLASS,37.55
AGRICULTURAL MACHINERY,31.96
EARTH-MOVING MACHINERY,31.28
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",25.79
SCIENTIFIC INSTRUMENTS,20.36
SUGAR,16.46
BOILERS AND STEAM GENERATING PLANTS,16.21
TIMBER PRODUCTS,13.12
"LEATHER,LEATHER GOODS AND PICKERS",12.44
GLUE AND GELATIN,10.19
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),7.54
DYE-STUFFS,7.13
INDUSTRIAL INSTRUMENTS,5.61
PHOTOGRAPHIC RAW FILM AND PAPER,5.02
COAL PRODUCTION,2.31
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",0.66
DEFENCE INDUSTRIES,0.42
COIR,0.3
