Sector,avg_last_15yrs
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",3947.81
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",1614.47
COMPUTER SOFTWARE & HARDWARE,1601.45
TELECOMMUNICATIONS,1526.34
AUTOMOBILE INDUSTRY,1082.86
DRUGS & PHARMACEUTICALS,972.87
TRADING,943.74
CHEMICALS (OTHER THAN FERTILIZERS),872.98
POWER,716.15
METALLURGICAL INDUSTRIES,686.25
HOTEL & TOURISM,673.21
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,654.5
MISCELLANEOUS INDUSTRIES,599.33
FOOD PROCESSING INDUSTRIES,485.19
PETROLEUM & NATURAL GAS,442.38
ELECTRICAL EQUIPMENTS,428.13
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),427.18
NON-CONVENTIONAL ENERGY,345.43
CEMENT AND GYPSUM PRODUCTS,335.44
INDUSTRIAL MACHINERY,290.42
HOSPITAL & DIAGNOSTIC CENTRES,288.84
CONSULTANCY SERVICES,236.48
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,213.83
SEA TRANSPORT,179.36
"TEXTILES (INCLUDING DYED,PRINTED)",164.27
FERMENTATION INDUSTRIES,164.05
RUBBER GOODS,153.37
MINING,150.93
AGRICULTURE SERVICES,125.94
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),115.88
ELECTRONICS,113.28
PORTS,108.12
MEDICAL AND SURGICAL APPLIANCES,101.94
EDUCATION,94.41
PAPER AND PULP (INCLUDING PAPER PRODUCTS),80.98
"SOAPS, COSMETICS & TOILET PREPARATIONS",80.26
AIR TRANSPORT (INCLUDING AIR FREIGHT),67.63
RETAIL TRADING,65.9
"DIAMOND,GOLD ORNAMENTS",58.45
MACHINE TOOLS,57.07
RAILWAY RELATED COMPONENTS,53.24
CERAMICS,50.35
VEGETABLE OILS AND VANASPATI,46.5
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),42.31
FERTILIZERS,37.71
GLASS,33.95
AGRICULTURAL MACHINERY,29.63
EARTH-MOVING MACHINERY,25.95
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",22.43
SCIENTIFIC INSTRUMENTS,16.3
SUGAR,13.63
BOILERS AND STEAM GENERATING PLANTS,13.01
TIMBER PRODUCTS,10.51
"LEATHER,LEATHER GOODS AND PICKERS",10.48
GLUE AND GELATIN,8.5
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),6.06
DYE-STUFFS,5.81
INDUSTRIAL INSTRUMENTS,4.67
PHOTOGRAPHIC RAW FILM AND PAPER,4.49
COAL PRODUCTION,1.85
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",0.53
DEFENCE INDUSTRIES,0.34
COIR,0.27
