Sector,avg_last_2yrs
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",7786.76
COMPUTER SOFTWARE & HARDWARE,4778.04
TELECOMMUNICATIONS,3444.04
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,3185.72
TRADING,3091.86
AUTOMOBILE INDUSTRY,2068.07
CHEMICALS (OTHER THAN FERTILIZERS),1431.38
ELECTRICAL EQUIPMENTS,1337.78
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),1263.01
HOTEL & TOURISM,1124.41
CEMENT AND GYPSUM PRODUCTS,1074.9
POWER,990.89
METALLURGICAL INDUSTRIES,948.24
DRUGS & PHARMACEUTICALS,805.82
NON-CONVENTIONAL ENERGY,780.04
HOSPITAL & DIAGNOSTIC CENTRES,744.86
FOOD PROCESSING INDUSTRIES,616.55
SEA TRANSPORT,582.18
MISCELLANEOUS INDUSTRIES,482.58
INDUSTRIAL MACHINERY,448.78
"TEXTILES (INCLUDING DYED,PRINTED)",424.54
CONSULTANCY SERVICES,389.3
RETAIL TRADING,356.59
MEDICAL AND SURGICAL APPLIANCES,326.48
MINING,288.21
RUBBER GOODS,279.46
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,259.9
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),223
AIR TRANSPORT (INCLUDING AIR FREIGHT),222.32
EDUCATION,195.45
FERMENTATION INDUSTRIES,156.61
ELECTRONICS,146.18
"SOAPS, COSMETICS & TOILET PREPARATIONS",142.93
PETROLEUM & NATURAL GAS,141.71
PAPER AND PULP (INCLUDING PAPER PRODUCTS),141.41
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",108.84
"DIAMOND,GOLD ORNAMENTS",91.23
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),87.99
RAILWAY RELATED COMPONENTS,80.78
AGRICULTURE SERVICES,80.54
MACHINE TOOLS,75.13
EARTH-MOVING MACHINERY,74.94
VEGETABLE OILS AND VANASPATI,71.34
BOILERS AND STEAM GENERATING PLANTS,65.91
SUGAR,60.88
GLUE AND GELATIN,45.71
SCIENTIFIC INSTRUMENTS,41.51
GLASS,38.74
CERAMICS,33.3
TIMBER PRODUCTS,31.7
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",22.06
AGRICULTURAL MACHINERY,15.82
FERTILIZERS,10.91
"LEATHER,LEATHER GOODS AND PICKERS",9.72
DYE-STUFFS,7.01
INDUSTRIAL INSTRUMENTS,4.11
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),1.36
DEFENCE INDUSTRIES,0.05
COIR,0
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",0
PHOTOGRAPHIC RAW FILM AND PAPER,0
COAL PRODUCTION,0
PORTS,0
